misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.00036062568,0.0,-0.003554701805114746,35,1,8.516365,-0.0036596647,125,13.971940488001565,500,83.7566,125.0,-0.8587406582442301,-0.8635018647922802,-0.8695931962036395
0.0056560007,0.0745,-0.0005019903182983398,93,20,8.389697,0.00018170732,2500,111.76387677001185,10000,51.371326,125.0,-0.8431310381785164,-0.8653159286521698,-0.8835179325972005
0.008051751,0.1215,-3.325939178466797e-05,103,40,8.271156,-0.001521088,5000,209.28443158400478,20000,35.626663,125.0,-0.843667533660432,-0.865280158309479,-0.8803066323226214
0.0090126,0.1365,-2.5033950805664062e-06,94,60,8.143584,-0.0055412822,7500,307.75834576800116,30000,21.296196,125.0,-0.8196915741997557,-0.8554218623436824,-0.8829872626902237
0.005684333,0.078,-0.0003012418746948242,109,80,7.981763,0.00013844538,10000,408.3642719369964,40000,10.514933,125.0,-0.8328632642647409,-0.8487958668837337,-0.8693745175091376
0.010275377,0.14799999,-0.00027108192443847656,105,100,7.893813,-0.0055020857,12500,500.28636786699644,50000,3.577946,125.0,-0.8305316332621783,-0.8495749175597979,-0.871277550751312
0.007189261,0.10650001,0.00019669532775878906,95,120,7.6867957,-0.0048928666,15000,592.7663591110031,60000,0.35848764,125.0,-0.7988149910092808,-0.8317853314695451,-0.863103839514629
0.007661759,0.109000005,-0.00013077259063720703,125,140,7.215913,-0.0062117013,17500,684.2549219540088,70000,0.052544355,125.0,-0.7743531059105975,-0.8052408138115098,-0.8377393651637803
0.008248326,0.11800001,-0.0006477832794189453,128,160,6.7698326,-0.004733296,20000,767.0376541080186,80000,0.06740252,125.0,-0.7432325074276415,-0.7741318681691352,-0.8025136818916335
0.0059667695,0.0785,0.0005167126655578613,137,180,6.345403,0.0005602588,22500,847.5924298430036,90000,0.09736059,125.0,-0.7095631658647678,-0.7432622108693072,-0.783705238311015
0.014144931,0.20750001,-0.09821844100952148,135,200,5.878063,-0.0064005246,25000,930.0179530740133,100000,0.05195781,125.0,-0.6786308020559577,-0.7125758408000052,-0.7480890680823609
0.008454896,0.1205,-0.04773259162902832,139,220,5.3866687,-0.0040519442,27500,1009.2110450510227,110000,0.046629533,125.0,-0.6661850279190463,-0.686747517889888,-0.7153245723386273
0.013606015,0.1745,-0.061280131340026855,125,240,5.0012627,-0.003107212,30000,1088.3231089290057,120000,0.02306174,125.0,-0.6448472606981386,-0.669341312006381,-0.6966218321853486
0.010852793,0.16800001,-0.026452064514160156,121,260,4.6135406,-0.0056995233,32500,1165.9696560950251,130000,0.027473718,125.0,-0.6332331626325447,-0.6530624191194553,-0.6746594948088123
0.014793985,0.21800002,-0.1839733123779297,130,280,4.2040024,0.0003019208,35000,1241.2967306970095,140000,0.041898537,125.0,-0.6118055197493384,-0.6328831092956293,-0.6562271084028319
0.01616269,0.2245,-0.01664137840270996,124,300,3.8676488,-0.003339762,37500,1318.252441159013,150000,0.030255606,125.0,-0.5841680292758155,-0.6130851522676611,-0.6501628841565761
0.012080578,0.1785,0.030334949493408203,127,320,3.5509665,0.0033941027,40000,1393.4314136040048,160000,0.0422783,125.0,-0.5742223484964437,-0.5963150833666553,-0.6139208928984707
0.011398672,0.1565,-0.0021048784255981445,132,340,3.1659498,-0.0020655626,42500,1471.0274631350185,170000,0.037532642,125.0,-0.5523340368027032,-0.5837843567097455,-0.6106726036485063
0.011665048,0.16800001,-0.05696678161621094,133,360,2.7918167,0.0067592696,45000,1548.107385559997,180000,0.026266452,125.0,-0.526484132134582,-0.5578510081296291,-0.5817894748897692
0.022759011,0.31700003,-0.10023772716522217,145,380,2.4577205,0.010343477,47500,1624.913413819013,190000,0.07040624,125.0,-0.5279290872862401,-0.5464802934195107,-0.5690440094279745
0.011076951,0.15949999,-0.017902255058288574,124,400,2.2354841,0.0045893034,50000,1701.3417095460172,200000,0.07542166,125.0,-0.49976113646033943,-0.5338243112672488,-0.5699273758610414
0.0131496,0.2035,-0.0064697265625,133,420,1.9017991,-0.003051947,52500,1778.2739882270107,210000,0.02707321,125.0,-0.4950111986356521,-0.5280673283650776,-0.5481681651665689
0.011926378,0.18400002,-0.04693746566772461,133,440,1.5658107,0.0005763027,55000,1855.568087861,220000,0.08837208,125.0,-0.4685911478783407,-0.516458362137449,-0.5416688043083904
0.030147487,0.376,-0.03217184543609619,124,460,1.2818284,0.010729022,57500,1932.3753181920038,230000,0.049019147,125.0,-0.4631826143359932,-0.4987690841062248,-0.5211662009160876
0.03330397,0.33950004,-0.05058431625366211,127,480,0.94992024,0.021406477,60000,2010.329414656997,240000,0.055256266,125.0,-0.44038357180829885,-0.4903622312739307,-0.5154832533335238
0.013517765,0.1965,-0.03537333011627197,136,500,0.60118294,0.006941723,62500,2086.379084508022,250000,0.052161597,125.0,-0.4337381877149915,-0.4791311786315111,-0.5082113737143374
0.04251897,0.4225,0.019774436950683594,127,520,0.27435943,0.011199876,65000,2163.9278719180147,260000,0.06147314,125.0,-0.4234695432170378,-0.46441133182033595,-0.48721418970136965
0.024445599,0.313,-0.017821550369262695,137,540,0.15258197,0.0050855735,67500,2240.45011447501,270000,0.07247477,125.0,-0.41549595933835287,-0.46150384853676235,-0.4832073235095159
0.02175447,0.3005,-0.05108475685119629,142,560,-0.06782289,0.012625171,70000,2317.3212987610023,280000,0.04954058,125.0,-0.41779876862744897,-0.4492153655007874,-0.4724544177185656
0.017815934,0.2575,0.017209172248840332,130,580,-0.25538856,0.0069505433,72500,2394.9299689680047,290000,0.034471665,125.0,-0.4331493332200303,-0.46066813608782037,-0.4846031036201234
0.021381158,0.2985,-0.01984703540802002,133,600,-0.54646146,0.014316376,75000,2472.085584051005,300000,0.074188344,125.0,-0.4083805630466441,-0.44426245838953327,-0.48317032883798655
0.04776896,0.45549998,0.0008380413055419922,122,620,-0.73663795,0.028132971,77500,2550.1545635960065,310000,0.078047305,125.0,-0.35946731617732663,-0.438846087137404,-0.4743991150550964
0.019758726,0.28699997,0.003378927707672119,127,640,-0.8801803,0.008324212,80000,2627.2344047579973,320000,0.22004068,125.0,-0.35573170358076783,-0.43546127774233634,-0.47050362844869953
0.023811331,0.3385,0.006769001483917236,117,660,-1.0615063,0.014969518,82500,2704.457524057012,330000,0.13690439,125.0,-0.39384841849961355,-0.4378583381123489,-0.4710809409772282
0.035300963,0.38300002,-0.016368865966796875,131,680,-1.3442417,0.02182903,85000,2781.00360890702,340000,0.42436346,125.0,-0.32708390612660004,-0.4185263087366695,-0.4784116641721131
0.029392924,0.32750002,-0.0269089937210083,122,700,-1.5501609,0.003787871,87500,2859.4057916890015,350000,0.2116959,125.0,-0.33694958599128505,-0.40353955653804474,-0.4449823952984924
0.041660383,0.412,-0.025963306427001953,132,720,-1.727988,0.031735476,90000,2935.5473423090007,360000,0.1437108,125.0,-0.34964100582264956,-0.3953243897807055,-0.450674186085243
0.036940858,0.3755,0.006245970726013184,122,740,-1.7714202,0.0076034833,92500,3011.837737718015,370000,0.1994224,125.0,-0.3567276515019029,-0.4041745022847982,-0.45846460593509863
0.030143006,0.32,0.003686070442199707,124,760,-1.8554999,0.024373423,95000,3088.7835622249986,380000,0.09896604,125.0,-0.33185650807172834,-0.3864220035323878,-0.4265498539808429
0.058454704,0.504,0.010915994644165039,124,780,-2.0455096,0.04443072,97500,3166.0624749910203,390000,0.26143634,125.0,-0.27090017132869165,-0.3632797612188267,-0.4122970810280235
0.02572399,0.34349996,0.01059335470199585,144,800,-2.2116468,0.021973832,100000,3243.264625184005,400000,0.25103715,125.0,-0.29884622655769527,-0.3695655746482826,-0.41821461949146976
0.025817988,0.3155,0.007828712463378906,143,820,-2.4193814,0.016744066,102500,3318.960196622007,410000,0.3859575,125.0,-0.2851061735088056,-0.35909508247979793,-0.4136749648121803
0.045229487,0.41650003,-0.000988006591796875,133,840,-2.5109384,0.033076473,105000,3395.551992810011,420000,0.21583092,125.0,-0.22938902794685914,-0.3481785903363656,-0.4008562836775644
0.051343028,0.45600003,-0.0031435489654541016,132,860,-2.6880713,0.035538904,107500,3474.32077457002,430000,0.3583207,125.0,-0.22942867736626932,-0.3368766765595052,-0.4093445176677128
0.09693823,0.5785,0.008747696876525879,145,880,-2.8229346,0.06432806,110000,3552.066315127013,440000,0.3551143,125.0,-0.1955985115521553,-0.32191817734111944,-0.38421632730485505
0.033860426,0.41750002,-0.004997968673706055,134,900,-2.9454045,0.0126321,112500,3627.0979690380045,450000,0.31216872,125.0,-0.23166284510412236,-0.3321456690401973,-0.3866578735530647
0.037441526,0.4135,-0.01975727081298828,139,920,-3.1253092,0.025796995,115000,3704.935170343,460000,0.3324119,125.0,-0.21266377926852736,-0.2936069520503674,-0.3647776549826411
0.02358628,0.29099995,-0.006772160530090332,132,940,-3.2810755,0.016273208,117500,3781.8369143370073,470000,0.26767516,125.0,-0.17002916171254898,-0.3014256983266166,-0.38282898669089305
0.09055927,0.55799997,0.003858327865600586,130,960,-3.370682,0.059930682,120000,3858.472462757025,480000,0.2797608,125.0,-0.17864576724751907,-0.3124285923006469,-0.3684714601563249
0.03820365,0.389,-0.02303159236907959,129,980,-3.533489,0.014055778,122500,3935.696586313017,490000,0.40665907,125.0,-0.16119471774317587,-0.2804735913852632,-0.3692686311638728
0.050984483,0.468,-0.007256507873535156,142,1000,-3.6543837,0.034578238,125000,4012.3743155760167,500000,0.23184071,125.0,-0.21409410232344028,-0.3073156281643482,-0.37429680714461283
0.047861584,0.41699997,-0.005955100059509277,121,1020,-3.8992333,0.031263098,127500,4088.9696503800224,510000,0.4121002,125.0,-0.15349211710254543,-0.2709069428831342,-0.34856906995949793
0.019244937,0.2595,-0.008030176162719727,132,1040,-4.1214323,0.018253727,130000,4166.249871619017,520000,0.33743593,125.0,-0.18682506848357097,-0.2595028582220739,-0.33228581297218285
0.04189628,0.4505,-0.0035445690155029297,126,1060,-4.1790333,0.028845794,132500,4244.336983362999,530000,0.2585665,125.0,-0.23176172876879936,-0.3157289556227105,-0.36917640040237687
0.028248107,0.3445,-0.005049347877502441,139,1080,-4.2526946,0.015351789,135000,4321.533878411021,540000,0.11138581,125.0,-0.2651531230098072,-0.3286894864207439,-0.3726949403010261
0.026808826,0.3475,-0.0032006502151489258,125,1100,-4.42839,0.012802776,137500,4398.865264360997,550000,0.047774382,125.0,-0.2252629480583925,-0.29483919028854044,-0.34408631318155847
